id_association,id_ingredient,id_item
efbbfdb2-b30d-411e-b6b5-27fcc9029ccc,0,0
e62c2ff0-e5d6-420c-81c3-cc3a02bf60d8,1,1
d69741eb-1ce8-421a-a4d6-a85c7299daab,2,2
dc20a2de-7315-42e5-96d9-da1900e48860,3,3
cb38e76b-5561-41d0-a236-140bbddb280b,4,4
7a00f6ec-1f68-41ea-9ab5-4f910a950542,5,5
5c0ef681-aca5-45d0-826e-d375b72dc133,6,6
47dd7698-2d33-49ff-a47d-93017de05fd9,7,7
dd8b0cd1-98f6-4405-b070-18bd41c2380c,8,8
28188756-f687-4d44-b6c0-834905542cb2,9,9
8c94ea2a-f5e4-407a-b443-6a0a132766d6,10,10
b15eeff4-4886-47b7-a3bd-b49f3a5403a2,11,11
c25ae2e7-47dd-4221-b054-f5b6b3cf801d,12,12
5795ca6c-d97b-47f3-8e6a-6058407d86d1,13,13
f524a971-2e09-4295-b49e-71d1e1ff9f53,14,14
d3e22d07-de19-40fe-a8c8-4171a0154ff4,15,15
6e72d7e1-cf86-4fca-b024-d13a571b0d6d,16,16
daff4c43-ebb9-4a1f-aabf-eba80993b64f,17,17
a8a1ef9e-35fd-43e6-b91a-2c29941d3f14,18,18
91229323-fa0c-4e4f-883b-d2adfe27141c,19,19
60fd03db-c2fc-4d92-a524-2fe983bbe9be,20,20
f8ae4697-369a-492f-a874-1999faa8c3c4,21,21
d93bf4d5-c774-46e8-9416-f2026686d985,22,22
83e4c640-8340-45f3-b924-92e1db7b6ace,23,23
5b64beb8-8925-4807-8f23-c6bfba35707a,24,24
dc471e34-aa87-4a1d-b749-412a693e4ff3,25,25
aa893f7a-cb07-4244-948c-884ddda2f42b,26,26
7698e340-4f34-4f53-b509-c7c7098f857e,27,27
7a3060af-4b0d-4f3e-bd30-db6a4b223341,28,28
0e8b7863-2533-4989-b16e-d1daa60665ed,29,29
aa768c7b-0f83-4187-8bc4-8e303467dfbd,30,30
435402a3-00c6-4559-89ed-7a5eff1c7bf7,31,31
18332a8c-5d5d-4227-9023-af8e83745dea,32,32
8c2a9e7c-0c94-47a7-aa6f-9fec53b7acac,33,33
6d9d6dda-7242-431f-9322-c95374e971c5,34,34
ac5ca9b0-40cf-43b9-8a05-b51ef8485c3c,35,35
ff55dba1-ad88-497b-aac3-e8cbd4899317,36,36
b7b9a953-d98a-451a-9dbd-1b78276cdcab,37,37
299bb03c-f317-4ef1-8805-9dd7f0a0076d,38,38
2a8e25d1-dbed-4c6d-a3c7-cb5e682a69f9,39,39
22008d97-665d-442b-b144-f95467de6fed,40,40
9296dd82-c1d4-4251-a4a7-b2686153d102,41,41
43aec1c1-2dcf-4573-88ac-98b7d7c0cc45,42,42
dfe731fa-14c5-450c-bf5d-9507e1609eef,43,43
964a4403-26fe-4fc5-93d1-f95998604682,44,44
